LocationType,Location,Category,TimeFrame,DataFormat,Data
Nation,United States,Emotional abuse,2017,Number,38413
Nation,United States,Medical neglect,2017,Number,15040
Nation,United States,Neglect,2017,Number,501964
Nation,United States,Other/missing maltreatment type,2017,Number,47337
Nation,United States,Physical abuse,2017,Number,121701
Nation,United States,Sexual abuse,2017,Number,57836
Nation,United States,Emotional abuse,2017,Percent,0.06
Nation,United States,Medical neglect,2017,Percent,0.02
Nation,United States,Neglect,2017,Percent,0.75
Nation,United States,Other/missing maltreatment type,2017,Percent,0.07
Nation,United States,Physical abuse,2017,Percent,0.18
Nation,United States,Sexual abuse,2017,Percent,0.09
Nation,United States,Sexual abuse,2022,Percent,0.11
Nation,United States,Medical neglect,2022,Percent,0.02
Nation,United States,Neglect,2022,Percent,0.74
Nation,United States,Physical abuse,2022,Percent,0.17
Nation,United States,Other/missing maltreatment type,2022,Percent,0.03
Nation,United States,Emotional abuse,2022,Percent,0.07
Nation,United States,Physical abuse,2022,Number,94066
Nation,United States,Neglect,2022,Number,413131
Nation,United States,Medical neglect,2022,Number,10713
Nation,United States,Sexual abuse,2022,Number,58764
Nation,United States,Emotional abuse,2019,Number,39726
Nation,United States,Medical neglect,2019,Number,14953
Nation,United States,Neglect,2019,Number,489119
Nation,United States,Other/missing maltreatment type,2019,Number,44396
Nation,United States,Physical abuse,2019,Number,113653
Nation,United States,Sexual abuse,2019,Number,60623
Nation,United States,Emotional abuse,2022,Number,37901
Nation,United States,Other/missing maltreatment type,2022,Number,19174
Nation,United States,Sexual abuse,2019,Percent,0.09
Nation,United States,Physical abuse,2019,Percent,0.17
Nation,United States,Other/missing maltreatment type,2019,Percent,0.07
Nation,United States,Neglect,2019,Percent,0.75
Nation,United States,Medical neglect,2019,Percent,0.02
Nation,United States,Emotional abuse,2019,Percent,0.06
Nation,United States,Sexual abuse,2021,Percent,0.1
Nation,United States,Physical abuse,2021,Percent,0.16
Nation,United States,Other/missing maltreatment type,2021,Percent,0.04
Nation,United States,Neglect,2021,Percent,0.76
Nation,United States,Medical neglect,2021,Percent,0.02
Nation,United States,Emotional abuse,2021,Percent,0.06
Nation,United States,Emotional abuse,2021,Number,37242
Nation,United States,Medical neglect,2021,Number,11180
Nation,United States,Neglect,2021,Number,444554
Nation,United States,Other/missing maltreatment type,2021,Number,21241
Nation,United States,Physical abuse,2021,Number,93021
Nation,United States,Sexual abuse,2021,Number,59015
State,Alabama,Emotional abuse,2021,Number,19
State,Alabama,Medical neglect,2021,Number,79
State,Alabama,Neglect,2021,Number,5011
State,Alabama,Other/missing maltreatment type,2021,Number,N.R.
State,Alabama,Physical abuse,2021,Number,6062
State,Alabama,Sexual abuse,2021,Number,2103
State,Alabama,Sexual abuse,2021,Percent,0.18
State,Alabama,Physical abuse,2021,Percent,0.52
State,Alabama,Other/missing maltreatment type,2021,Percent,N.R.
State,Alabama,Neglect,2021,Percent,0.43
State,Alabama,Medical neglect,2021,Percent,0.01
State,Alabama,Emotional abuse,2021,Percent,<.5%
State,Alabama,Sexual abuse,2019,Percent,0.18
State,Alabama,Physical abuse,2019,Percent,0.54
State,Alabama,Other/missing maltreatment type,2019,Percent,N.R.
State,Alabama,Neglect,2019,Percent,0.39
State,Alabama,Medical neglect,2019,Percent,0.01
State,Alabama,Emotional abuse,2019,Percent,<.5%
State,Alabama,Emotional abuse,2019,Number,24
State,Alabama,Medical neglect,2019,Number,86
State,Alabama,Neglect,2019,Number,4539
State,Alabama,Other/missing maltreatment type,2019,Number,N.R.
State,Alabama,Physical abuse,2019,Number,6249
State,Alabama,Sexual abuse,2019,Number,2035
State,Alabama,Physical abuse,2022,Number,6143
State,Alabama,Neglect,2022,Number,4768
State,Alabama,Medical neglect,2022,Number,75
State,Alabama,Sexual abuse,2022,Number,2001
State,Alabama,Emotional abuse,2022,Number,14
State,Alabama,Other/missing maltreatment type,2022,Number,N.R.
State,Alabama,Other/missing maltreatment type,2022,Percent,N.R.
State,Alabama,Emotional abuse,2022,Percent,<.5%
State,Alabama,Sexual abuse,2022,Percent,0.17
State,Alabama,Medical neglect,2022,Percent,0.01
State,Alabama,Neglect,2022,Percent,0.42
State,Alabama,Physical abuse,2022,Percent,0.54
State,Alabama,Emotional abuse,2017,Percent,<.5%
State,Alabama,Medical neglect,2017,Percent,0.01
State,Alabama,Neglect,2017,Percent,0.43
State,Alabama,Other/missing maltreatment type,2017,Percent,N.R.
State,Alabama,Physical abuse,2017,Percent,0.53
State,Alabama,Sexual abuse,2017,Percent,0.15
State,Alabama,Emotional abuse,2017,Number,41
State,Alabama,Medical neglect,2017,Number,91
State,Alabama,Neglect,2017,Number,4643
State,Alabama,Other/missing maltreatment type,2017,Number,N.R.
State,Alabama,Physical abuse,2017,Number,5685
State,Alabama,Sexual abuse,2017,Number,1583
State,Alabama,Emotional abuse,2016,Number,34
State,Alabama,Medical neglect,2016,Number,77
State,Alabama,Neglect,2016,Number,4075
State,Alabama,Other/missing maltreatment type,2016,Number,N.R.
State,Alabama,Physical abuse,2016,Number,5364
State,Alabama,Sexual abuse,2016,Number,1552
State,Alabama,Sexual abuse,2020,Percent,0.19
State,Alabama,Physical abuse,2020,Percent,0.5
State,Alabama,Other/missing maltreatment type,2020,Percent,N.R.
State,Alabama,Neglect,2020,Percent,0.43
State,Alabama,Medical neglect,2020,Percent,0.01
State,Alabama,Emotional abuse,2020,Percent,<.5%
State,Alabama,Emotional abuse,2016,Percent,<.5%
State,Alabama,Medical neglect,2016,Percent,0.01
State,Alabama,Neglect,2016,Percent,0.4
State,Alabama,Other/missing maltreatment type,2016,Percent,N.R.
State,Alabama,Physical abuse,2016,Percent,0.53
State,Alabama,Sexual abuse,2016,Percent,0.15
State,Alabama,Emotional abuse,2015,Number,21
State,Alabama,Medical neglect,2015,Number,67
State,Alabama,Neglect,2015,Number,3262
State,Alabama,Other/missing maltreatment type,2015,Number,N.R.
State,Alabama,Physical abuse,2015,Number,4392
State,Alabama,Sexual abuse,2015,Number,1463
State,Alabama,Emotional abuse,2020,Number,21
State,Alabama,Medical neglect,2020,Number,81
State,Alabama,Neglect,2020,Number,4967
State,Alabama,Other/missing maltreatment type,2020,Number,N.R.
State,Alabama,Physical abuse,2020,Number,5712
State,Alabama,Sexual abuse,2020,Number,2164
State,Alabama,Emotional abuse,2015,Percent,<.5%
State,Alabama,Medical neglect,2015,Percent,0.01
State,Alabama,Neglect,2015,Percent,0.39
State,Alabama,Other/missing maltreatment type,2015,Percent,N.R.
State,Alabama,Physical abuse,2015,Percent,0.52
State,Alabama,Sexual abuse,2015,Percent,0.17
State,Alabama,Sexual abuse,2018,Percent,0.16
State,Alabama,Physical abuse,2018,Percent,0.52
State,Alabama,Other/missing maltreatment type,2018,Percent,N.R.
State,Alabama,Neglect,2018,Percent,0.42
State,Alabama,Medical neglect,2018,Percent,0.01
State,Alabama,Emotional abuse,2018,Percent,<.5%
State,Alabama,Emotional abuse,2018,Number,38
State,Alabama,Medical neglect,2018,Number,76
State,Alabama,Neglect,2018,Number,5072
State,Alabama,Other/missing maltreatment type,2018,Number,N.R.
State,Alabama,Physical abuse,2018,Number,6324
State,Alabama,Sexual abuse,2018,Number,1981
State,Alaska,Emotional abuse,2018,Number,684
State,Alaska,Medical neglect,2018,Number,69
State,Alaska,Neglect,2018,Number,2011
State,Alaska,Other/missing maltreatment type,2018,Number,N.R.
State,Alaska,Physical abuse,2018,Number,427
State,Alaska,Sexual abuse,2018,Number,201
State,Alaska,Sexual abuse,2018,Percent,0.08
State,Alaska,Physical abuse,2018,Percent,0.16
State,Alaska,Other/missing maltreatment type,2018,Percent,N.R.
State,Alaska,Neglect,2018,Percent,0.77
State,Alaska,Medical neglect,2018,Percent,0.03
State,Alaska,Emotional abuse,2018,Percent,0.26
State,Alaska,Emotional abuse,2015,Percent,0.25
State,Alaska,Medical neglect,2015,Percent,0.03
State,Alaska,Neglect,2015,Percent,0.82
State,Alaska,Other/missing maltreatment type,2015,Percent,N.R.
State,Alaska,Physical abuse,2015,Percent,0.11
State,Alaska,Sexual abuse,2015,Percent,0.05
State,Alaska,Emotional abuse,2020,Number,1068
State,Alaska,Medical neglect,2020,Number,112
State,Alaska,Neglect,2020,Number,2275
State,Alaska,Other/missing maltreatment type,2020,Number,N.R.
State,Alaska,Physical abuse,2020,Number,683
State,Alaska,Sexual abuse,2020,Number,295
State,Alaska,Emotional abuse,2015,Number,718
State,Alaska,Medical neglect,2015,Number,84
State,Alaska,Neglect,2015,Number,2358
State,Alaska,Other/missing maltreatment type,2015,Number,N.R.
State,Alaska,Physical abuse,2015,Number,331
State,Alaska,Sexual abuse,2015,Number,155
State,Alaska,Emotional abuse,2016,Percent,0.32
State,Alaska,Medical neglect,2016,Percent,0.02
State,Alaska,Neglect,2016,Percent,0.77
State,Alaska,Other/missing maltreatment type,2016,Percent,N.R.
State,Alaska,Physical abuse,2016,Percent,0.12
State,Alaska,Sexual abuse,2016,Percent,0.06
State,Alaska,Sexual abuse,2020,Percent,0.09
State,Alaska,Physical abuse,2020,Percent,0.21
State,Alaska,Other/missing maltreatment type,2020,Percent,N.R.
State,Alaska,Neglect,2020,Percent,0.71
State,Alaska,Medical neglect,2020,Percent,0.04
State,Alaska,Emotional abuse,2020,Percent,0.33
State,Alaska,Emotional abuse,2016,Number,985
State,Alaska,Medical neglect,2016,Number,73
State,Alaska,Neglect,2016,Number,2382
State,Alaska,Other/missing maltreatment type,2016,Number,N.R.
State,Alaska,Physical abuse,2016,Number,376
State,Alaska,Sexual abuse,2016,Number,181
State,Alaska,Emotional abuse,2017,Number,770
State,Alaska,Medical neglect,2017,Number,5
State,Alaska,Neglect,2017,Number,2133
State,Alaska,Other/missing maltreatment type,2017,Number,N.R.
State,Alaska,Physical abuse,2017,Number,393
State,Alaska,Sexual abuse,2017,Number,148
State,Alaska,Emotional abuse,2017,Percent,0.28
State,Alaska,Medical neglect,2017,Percent,<.5%
State,Alaska,Neglect,2017,Percent,0.77
State,Alaska,Other/missing maltreatment type,2017,Percent,N.R.
State,Alaska,Physical abuse,2017,Percent,0.14
State,Alaska,Sexual abuse,2017,Percent,0.05
State,Alaska,Other/missing maltreatment type,2022,Percent,N.R.
State,Alaska,Emotional abuse,2022,Percent,0.35
State,Alaska,Sexual abuse,2022,Percent,0.1
State,Alaska,Medical neglect,2022,Percent,0.03
State,Alaska,Neglect,2022,Percent,0.74
State,Alaska,Physical abuse,2022,Percent,0.24
State,Alaska,Physical abuse,2022,Number,606
State,Alaska,Neglect,2022,Number,1887
State,Alaska,Medical neglect,2022,Number,78
State,Alaska,Sexual abuse,2022,Number,252
State,Alaska,Emotional abuse,2019,Number,994
State,Alaska,Medical neglect,2019,Number,90
State,Alaska,Neglect,2019,Number,2286
State,Alaska,Other/missing maltreatment type,2019,Number,N.R.
State,Alaska,Physical abuse,2019,Number,487
State,Alaska,Sexual abuse,2019,Number,279
State,Alaska,Sexual abuse,2021,Percent,0.08
State,Alaska,Physical abuse,2021,Percent,0.21
State,Alaska,Other/missing maltreatment type,2021,Percent,N.R.
State,Alaska,Neglect,2021,Percent,0.74
State,Alaska,Medical neglect,2021,Percent,0.04
State,Alaska,Emotional abuse,2021,Percent,0.33
State,Alaska,Sexual abuse,2019,Percent,0.09
State,Alaska,Physical abuse,2019,Percent,0.16
State,Alaska,Other/missing maltreatment type,2019,Percent,N.R.
State,Alaska,Neglect,2019,Percent,0.75
State,Alaska,Medical neglect,2019,Percent,0.03
State,Alaska,Emotional abuse,2019,Percent,0.33
State,Alaska,Emotional abuse,2022,Number,887
State,Alaska,Other/missing maltreatment type,2022,Number,N.R.
State,Alaska,Emotional abuse,2021,Number,894
State,Alaska,Medical neglect,2021,Number,101
State,Alaska,Neglect,2021,Number,2018
State,Alaska,Other/missing maltreatment type,2021,Number,N.R.
State,Alaska,Physical abuse,2021,Number,567
State,Alaska,Sexual abuse,2021,Number,227
State,Arizona,Emotional abuse,2021,Number,N.R.
State,Arizona,Medical neglect,2021,Number,N.R.
State,Arizona,Neglect,2021,Number,N.R.
State,Arizona,Other/missing maltreatment type,2021,Number,N.R.
State,Arizona,Physical abuse,2021,Number,N.R.
State,Arizona,Sexual abuse,2021,Number,N.R.
State,Arizona,Sexual abuse,2019,Percent,0.04
State,Arizona,Physical abuse,2019,Percent,0.08
State,Arizona,Other/missing maltreatment type,2019,Percent,N.R.
State,Arizona,Neglect,2019,Percent,0.92
State,Arizona,Medical neglect,2019,Percent,N.R.
State,Arizona,Emotional abuse,2019,Percent,<.5%
State,Arizona,Sexual abuse,2021,Percent,N.R.
State,Arizona,Physical abuse,2021,Percent,N.R.
State,Arizona,Other/missing maltreatment type,2021,Percent,N.R.
State,Arizona,Neglect,2021,Percent,N.R.
State,Arizona,Medical neglect,2021,Percent,N.R.
State,Arizona,Emotional abuse,2021,Percent,N.R.
State,Arizona,Emotional abuse,2019,Number,8
State,Arizona,Medical neglect,2019,Number,N.R.
State,Arizona,Neglect,2019,Number,11736
State,Arizona,Other/missing maltreatment type,2019,Number,N.R.
State,Arizona,Physical abuse,2019,Number,1005
State,Arizona,Sexual abuse,2019,Number,494
State,Arizona,Physical abuse,2022,Number,1294
State,Arizona,Neglect,2022,Number,10992
State,Arizona,Medical neglect,2022,Number,14
State,Arizona,Sexual abuse,2022,Number,581
State,Arizona,Emotional abuse,2022,Number,850
State,Arizona,Other/missing maltreatment type,2022,Number,N.R.
State,Arizona,Other/missing maltreatment type,2022,Percent,N.R.
State,Arizona,Emotional abuse,2022,Percent,0.07
State,Arizona,Sexual abuse,2022,Percent,0.05
State,Arizona,Medical neglect,2022,Percent,<.5%
State,Arizona,Neglect,2022,Percent,0.89
State,Arizona,Physical abuse,2022,Percent,0.11
State,Arizona,Emotional abuse,2017,Percent,<.5%
State,Arizona,Medical neglect,2017,Percent,N.R.
State,Arizona,Neglect,2017,Percent,0.92
State,Arizona,Other/missing maltreatment type,2017,Percent,N.R.
State,Arizona,Physical abuse,2017,Percent,0.08
State,Arizona,Sexual abuse,2017,Percent,0.03
State,Arizona,Emotional abuse,2017,Number,2
State,Arizona,Medical neglect,2017,Number,N.R.
State,Arizona,Neglect,2017,Number,9112
State,Arizona,Other/missing maltreatment type,2017,Number,N.R.
State,Arizona,Physical abuse,2017,Number,797
State,Arizona,Sexual abuse,2017,Number,319
State,Arizona,Emotional abuse,2016,Number,11
State,Arizona,Medical neglect,2016,Number,N.R.
State,Arizona,Neglect,2016,Number,10002
State,Arizona,Other/missing maltreatment type,2016,Number,N.R.
State,Arizona,Physical abuse,2016,Number,884
State,Arizona,Sexual abuse,2016,Number,380
State,Arizona,Sexual abuse,2020,Percent,0.04
State,Arizona,Physical abuse,2020,Percent,0.08
State,Arizona,Other/missing maltreatment type,2020,Percent,N.R.
State,Arizona,Neglect,2020,Percent,0.92
State,Arizona,Medical neglect,2020,Percent,N.R.
State,Arizona,Emotional abuse,2020,Percent,<.5%
State,Arizona,Emotional abuse,2016,Percent,<.5%
State,Arizona,Medical neglect,2016,Percent,N.R.
State,Arizona,Neglect,2016,Percent,0.93
State,Arizona,Other/missing maltreatment type,2016,Percent,N.R.
State,Arizona,Physical abuse,2016,Percent,0.08
State,Arizona,Sexual abuse,2016,Percent,0.04
State,Arizona,Emotional abuse,2020,Number,5
State,Arizona,Medical neglect,2020,Number,N.R.
State,Arizona,Neglect,2020,Number,9102
State,Arizona,Other/missing maltreatment type,2020,Number,N.R.
State,Arizona,Physical abuse,2020,Number,829
State,Arizona,Sexual abuse,2020,Number,382
State,Arizona,Emotional abuse,2015,Number,6
State,Arizona,Medical neglect,2015,Number,N.R.
State,Arizona,Neglect,2015,Number,11053
State,Arizona,Other/missing maltreatment type,2015,Number,N.R.
State,Arizona,Physical abuse,2015,Number,1071
State,Arizona,Sexual abuse,2015,Number,346
State,Arizona,Emotional abuse,2015,Percent,<.5%
State,Arizona,Medical neglect,2015,Percent,N.R.
State,Arizona,Neglect,2015,Percent,0.93
State,Arizona,Other/missing maltreatment type,2015,Percent,N.R.
State,Arizona,Physical abuse,2015,Percent,0.09
State,Arizona,Sexual abuse,2015,Percent,0.03
State,Arizona,Sexual abuse,2018,Percent,0.04
State,Arizona,Physical abuse,2018,Percent,0.08
State,Arizona,Other/missing maltreatment type,2018,Percent,N.R.
State,Arizona,Neglect,2018,Percent,0.92
State,Arizona,Medical neglect,2018,Percent,N.R.
State,Arizona,Emotional abuse,2018,Percent,<.5%
State,Arizona,Emotional abuse,2018,Number,9
State,Arizona,Medical neglect,2018,Number,N.R.
State,Arizona,Neglect,2018,Number,14185
State,Arizona,Other/missing maltreatment type,2018,Number,N.R.
State,Arizona,Physical abuse,2018,Number,1237
State,Arizona,Sexual abuse,2018,Number,617
State,Arkansas,Emotional abuse,2018,Number,106
State,Arkansas,Medical neglect,2018,Number,1419
State,Arkansas,Neglect,2018,Number,3961
State,Arkansas,Other/missing maltreatment type,2018,Number,4
State,Arkansas,Physical abuse,2018,Number,2473
State,Arkansas,Sexual abuse,2018,Number,1683
State,Arkansas,Sexual abuse,2018,Percent,0.2
State,Arkansas,Physical abuse,2018,Percent,0.29
State,Arkansas,Other/missing maltreatment type,2018,Percent,<.5%
State,Arkansas,Neglect,2018,Percent,0.47
State,Arkansas,Medical neglect,2018,Percent,0.17
State,Arkansas,Emotional abuse,2018,Percent,0.01
State,Arkansas,Emotional abuse,2015,Percent,0.01
State,Arkansas,Medical neglect,2015,Percent,0.13
State,Arkansas,Neglect,2015,Percent,0.55
State,Arkansas,Other/missing maltreatment type,2015,Percent,<.5%
State,Arkansas,Physical abuse,2015,Percent,0.22
State,Arkansas,Sexual abuse,2015,Percent,0.21
State,Arkansas,Emotional abuse,2015,Number,123
State,Arkansas,Medical neglect,2015,Number,1206
State,Arkansas,Neglect,2015,Number,5026
State,Arkansas,Other/missing maltreatment type,2015,Number,7
State,Arkansas,Physical abuse,2015,Number,2009
State,Arkansas,Sexual abuse,2015,Number,1873
State,Arkansas,Emotional abuse,2020,Number,175
State,Arkansas,Medical neglect,2020,Number,218
State,Arkansas,Neglect,2020,Number,6352
State,Arkansas,Other/missing maltreatment type,2020,Number,32
State,Arkansas,Physical abuse,2020,Number,1789
State,Arkansas,Sexual abuse,2020,Number,1741
State,Arkansas,Emotional abuse,2016,Percent,0.01
State,Arkansas,Medical neglect,2016,Percent,0.14
State,Arkansas,Neglect,2016,Percent,0.56
State,Arkansas,Other/missing maltreatment type,2016,Percent,<.5%
State,Arkansas,Physical abuse,2016,Percent,0.21
State,Arkansas,Sexual abuse,2016,Percent,0.2
State,Arkansas,Sexual abuse,2020,Percent,0.19
State,Arkansas,Physical abuse,2020,Percent,0.2
State,Arkansas,Other/missing maltreatment type,2020,Percent,<.5%
State,Arkansas,Neglect,2020,Percent,0.7
State,Arkansas,Medical neglect,2020,Percent,0.02
State,Arkansas,Emotional abuse,2020,Percent,0.02
State,Arkansas,Emotional abuse,2016,Number,118
State,Arkansas,Medical neglect,2016,Number,1311
State,Arkansas,Neglect,2016,Number,5393
State,Arkansas,Other/missing maltreatment type,2016,Number,4
State,Arkansas,Physical abuse,2016,Number,2002
State,Arkansas,Sexual abuse,2016,Number,1962
State,Arkansas,Emotional abuse,2017,Number,150
State,Arkansas,Medical neglect,2017,Number,1450
State,Arkansas,Neglect,2017,Number,4955
State,Arkansas,Other/missing maltreatment type,2017,Number,3
State,Arkansas,Physical abuse,2017,Number,2020
State,Arkansas,Sexual abuse,2017,Number,1769
State,Arkansas,Other/missing maltreatment type,2022,Percent,0.03
State,Arkansas,Emotional abuse,2022,Percent,0.02
State,Arkansas,Sexual abuse,2022,Percent,0.21
State,Arkansas,Medical neglect,2022,Percent,N.R.
State,Arkansas,Neglect,2022,Percent,0.68
State,Arkansas,Physical abuse,2022,Percent,0.18
State,Arkansas,Emotional abuse,2017,Percent,0.02
State,Arkansas,Medical neglect,2017,Percent,0.16
State,Arkansas,Neglect,2017,Percent,0.54
State,Arkansas,Other/missing maltreatment type,2017,Percent,<.5%
State,Arkansas,Physical abuse,2017,Percent,0.22
State,Arkansas,Sexual abuse,2017,Percent,0.19
State,Arkansas,Physical abuse,2022,Number,1568
State,Arkansas,Neglect,2022,Number,6034
State,Arkansas,Medical neglect,2022,Number,N.R.
State,Arkansas,Sexual abuse,2022,Number,1832
State,Arkansas,Emotional abuse,2022,Number,184
State,Arkansas,Other/missing maltreatment type,2022,Number,262
State,Arkansas,Emotional abuse,2019,Number,90
State,Arkansas,Medical neglect,2019,Number,1434
State,Arkansas,Neglect,2019,Number,4223
State,Arkansas,Other/missing maltreatment type,2019,Number,2
State,Arkansas,Physical abuse,2019,Number,2011
State,Arkansas,Sexual abuse,2019,Number,1603
State,Arkansas,Sexual abuse,2021,Percent,0.18
State,Arkansas,Physical abuse,2021,Percent,0.18
State,Arkansas,Other/missing maltreatment type,2021,Percent,0.02
State,Arkansas,Neglect,2021,Percent,0.72
State,Arkansas,Medical neglect,2021,Percent,N.R.
State,Arkansas,Emotional abuse,2021,Percent,0.01
State,Arkansas,Sexual abuse,2019,Percent,0.19
State,Arkansas,Physical abuse,2019,Percent,0.24
State,Arkansas,Other/missing maltreatment type,2019,Percent,<.5%
State,Arkansas,Neglect,2019,Percent,0.51
State,Arkansas,Medical neglect,2019,Percent,0.17
State,Arkansas,Emotional abuse,2019,Percent,0.01
State,Arkansas,Emotional abuse,2021,Number,142
State,Arkansas,Medical neglect,2021,Number,N.R.
State,Arkansas,Neglect,2021,Number,6810
State,Arkansas,Other/missing maltreatment type,2021,Number,214
State,Arkansas,Physical abuse,2021,Number,1720
State,Arkansas,Sexual abuse,2021,Number,1750
State,California,Emotional abuse,2021,Number,4501
State,California,Medical neglect,2021,Number,56
State,California,Neglect,2021,Number,49013
State,California,Other/missing maltreatment type,2021,Number,297
State,California,Physical abuse,2021,Number,3602
State,California,Sexual abuse,2021,Number,3821
State,California,Sexual abuse,2019,Percent,0.05
State,California,Physical abuse,2019,Percent,0.07
State,California,Other/missing maltreatment type,2019,Percent,0.01
State,California,Neglect,2019,Percent,0.89
State,California,Medical neglect,2019,Percent,<.5%
State,California,Emotional abuse,2019,Percent,0.09
State,California,Sexual abuse,2021,Percent,0.07
State,California,Physical abuse,2021,Percent,0.06
State,California,Other/missing maltreatment type,2021,Percent,0.01
State,California,Neglect,2021,Percent,0.88
State,California,Medical neglect,2021,Percent,<.5%
State,California,Emotional abuse,2021,Percent,0.08
State,California,Emotional abuse,2019,Number,5846
State,California,Medical neglect,2019,Number,78
State,California,Neglect,2019,Number,56939
State,California,Other/missing maltreatment type,2019,Number,334
State,California,Physical abuse,2019,Number,4582
State,California,Sexual abuse,2019,Number,3413
State,California,Physical abuse,2022,Number,3496
State,California,Neglect,2022,Number,44989
State,California,Medical neglect,2022,Number,64
State,California,Sexual abuse,2022,Number,3448
State,California,Emotional abuse,2022,Number,3963
State,California,Other/missing maltreatment type,2022,Number,249
State,California,Other/missing maltreatment type,2022,Percent,<.5%
State,California,Emotional abuse,2022,Percent,0.08
State,California,Sexual abuse,2022,Percent,0.07
State,California,Medical neglect,2022,Percent,<.5%
State,California,Neglect,2022,Percent,0.89
State,California,Physical abuse,2022,Percent,0.07
State,California,Emotional abuse,2017,Percent,0.11
State,California,Medical neglect,2017,Percent,<.5%
State,California,Neglect,2017,Percent,0.87
State,California,Other/missing maltreatment type,2017,Percent,0.01
State,California,Physical abuse,2017,Percent,0.08
State,California,Sexual abuse,2017,Percent,0.05
State,California,Emotional abuse,2017,Number,6857
State,California,Medical neglect,2017,Number,103
State,California,Neglect,2017,Number,56988
State,California,Other/missing maltreatment type,2017,Number,351
State,California,Physical abuse,2017,Number,5321
State,California,Sexual abuse,2017,Number,3494
State,California,Emotional abuse,2016,Number,8027
State,California,Medical neglect,2016,Number,140
State,California,Neglect,2016,Number,59061
State,California,Other/missing maltreatment type,2016,Number,307
State,California,Physical abuse,2016,Number,5935
State,California,Sexual abuse,2016,Number,3615
State,California,Sexual abuse,2020,Percent,0.05
State,California,Physical abuse,2020,Percent,0.07
State,California,Other/missing maltreatment type,2020,Percent,0.01
State,California,Neglect,2020,Percent,0.89
State,California,Medical neglect,2020,Percent,<.5%
State,California,Emotional abuse,2020,Percent,0.09
State,California,Emotional abuse,2016,Percent,0.12
State,California,Medical neglect,2016,Percent,<.5%
State,California,Neglect,2016,Percent,0.86
State,California,Other/missing maltreatment type,2016,Percent,<.5%
State,California,Physical abuse,2016,Percent,0.09
State,California,Sexual abuse,2016,Percent,0.05
State,California,Emotional abuse,2020,Number,5422
State,California,Medical neglect,2020,Number,47
State,California,Neglect,2020,Number,53647
State,California,Other/missing maltreatment type,2020,Number,343
State,California,Physical abuse,2020,Number,4131
State,California,Sexual abuse,2020,Number,3256
State,California,Emotional abuse,2015,Number,9040
State,California,Medical neglect,2015,Number,161
State,California,Neglect,2015,Number,61984
State,California,Other/missing maltreatment type,2015,Number,163
State,California,Physical abuse,2015,Number,6466
State,California,Sexual abuse,2015,Number,3617
State,California,Emotional abuse,2015,Percent,0.13
State,California,Medical neglect,2015,Percent,<.5%
State,California,Neglect,2015,Percent,0.86
State,California,Other/missing maltreatment type,2015,Percent,<.5%
State,California,Physical abuse,2015,Percent,0.09
State,California,Sexual abuse,2015,Percent,0.05
State,California,Sexual abuse,2018,Percent,0.05
State,California,Physical abuse,2018,Percent,0.08
